Date:, SPY1M:, SPY3M:, SPY6M:, QQQ1M:, QQQ3M:, QQQ6M:
2019-01-17,        5.66%,       10.07%,       14.0%,       5.29%,       14.37%,       18.04%
2019-01-16,        6.28%,       11.18%,       15.24%,       5.91%,       14.88%,       19.59%
2019-01-15,        5.39%,       11.38%,       15.52%,       5.44%,       14.46%,       19.57%
2019-01-14,        6.83%,       12.65%,       16.84%,       7.37%,       16.69%,       21.9%
2019-01-11,        4.49%,       11.29%,       15.3%,       4.8%,       15.15%,       19.83%
2019-01-10,        4.53%,       11.36%,       14.8%,       4.41%,       15.0%,       18.22%
2019-01-09,        4.85%,       11.37%,       15.06%,       4.81%,       14.71%,       17.96%
2019-01-08,        5.21%,       12.47%,       15.6%,       5.46%,       16.05%,       18.93%
2019-01-07,        7.22%,       13.53%,       16.68%,       7.86%,       17.1%,       20.0%
2019-01-04,        7.75%,       13.78%,       18.39%,       8.51%,       17.59%,       22.54%
2019-01-03,        11.36%,       17.28%,       21.38%,       13.16%,       22.67%,       26.83%
2018-12-20,        6.35%,       13.91%,       18.3%,       6.34%,       18.04%,       22.4%
2018-12-19,        6.05%,       12.39%,       15.17%,       6.94%,       15.87%,       18.9%
2018-12-18,        3.09%,       10.68%,       13.44%,       3.29%,       12.64%,       15.98%
2018-12-17,        2.2%,       10.56%,       13.32%,       3.13%,       13.35%,       16.71%
2018-12-14,        -1.18%,       7.94%,       10.72%,       -1.12%,       9.7%,       13.2%
2018-12-13,        -3.0%,       6.02%,       8.87%,       -3.53%,       7.21%,       11.08%
2018-12-12,        -2.44%,       5.29%,       8.86%,       -2.64%,       6.45%,       10.97%
2018-12-11,        -1.99%,       5.42%,       9.4%,       -1.42%,       6.8%,       11.94%
2018-12-10,        -2.31%,       5.44%,       9.43%,       -1.38%,       7.15%,       12.31%
2018-12-06,        -5.73%,       2.78%,       3.96%,       -5.27%,       4.0%,       4.81%
2018-12-04,        -9.64%,       3.39%,       1.6%,       -9.59%,       5.25%,       2.66%
2018-12-03,        -10.43%,       0.04%,       -1.69%,       -10.13%,       1.21%,       -1.28%
2018-11-30,        -9.33%,       1.1%,       0.95%,       -8.92%,       2.26%,       3.93%
2018-11-29,        -8.78%,       1.91%,       2.25%,       -8.26%,       3.24%,       5.55%
2018-11-28,        -9.77%,       1.73%,       2.03%,       -9.32%,       2.96%,       5.21%
2018-11-27,        -7.57%,       4.14%,       4.38%,       -6.36%,       6.17%,       8.6%
2018-11-26,        -7.97%,       4.49%,       4.73%,       -6.4%,       6.53%,       8.96%
2018-11-20,        -6.42%,       5.2%,       7.51%,       -4.32%,       8.24%,       13.06%
2018-11-19,        -6.63%,       3.25%,       5.52%,       -4.65%,       6.31%,       11.04%
2018-11-16,        -6.71%,       0.24%,       4.14%,       -6.01%,       2.22%,       9.31%
2018-11-15,        -6.47%,       0.72%,       3.8%,       -6.34%,       1.74%,       7.41%
2018-11-14,        -3.6%,       1.44%,       3.95%,       -2.49%,       3.44%,       8.1%
2018-11-13,        -2.46%,       -0.53%,       3.23%,       -0.82%,       1.16%,       7.27%
2018-11-12,        -2.61%,       -0.72%,       3.04%,       -0.77%,       1.24%,       7.36%
2018-11-09,        -4.93%,       -2.74%,       3.52%,       -4.93%,       -1.92%,       8.31%
2018-11-08,        -5.86%,       -2.77%,       2.65%,       -6.53%,       -2.26%,       6.75%
2018-11-07,        -6.21%,       -2.81%,       4.2%,       -8.09%,       -2.59%,       8.18%
2018-11-06,        -1.92%,       -1.15%,       6.43%,       -1.97%,       -0.42%,       11.57%
2018-11-05,        -1.3%,       -0.52%,       7.11%,       -1.23%,       0.34%,       12.42%
2018-11-02,        2.73%,       -0.72%,       7.33%,       1.74%,       -0.72%,       11.54%
2018-11-01,        2.12%,       -2.17%,       7.5%,       0.16%,       -3.71%,       10.16%
2018-10-31,        1.85%,       -2.67%,       8.59%,       -0.26%,       -4.86%,       12.48%
2018-10-30,        2.32%,       -1.5%,       9.75%,       1.34%,       -1.69%,       15.13%
2018-10-29,        4.06%,       -0.04%,       11.37%,       3.35%,       -0.07%,       17.03%
2018-10-25,        -0.96%,       -2.47%,       8.44%,       -4.78%,       -5.21%,       11.25%
2018-10-24,        -0.78%,       -0.93%,       9.4%,       -3.71%,       -2.06%,       13.66%
2018-10-23,        -3.79%,       -3.93%,       6.09%,       -8.11%,       -6.54%,       8.46%
2018-10-22,        -3.63%,       -4.42%,       5.55%,       -7.79%,       -6.88%,       8.06%
2018-10-19,        -2.59%,       -4.81%,       4.78%,       -6.33%,       -5.43%,       8.17%
2018-10-18,        -2.64%,       -5.58%,       4.98%,       -6.42%,       -6.25%,       7.69%
2018-10-17,        -2.4%,       -7.17%,       3.39%,       -5.52%,       -8.41%,       4.83%
2018-10-16,        -2.63%,       -8.2%,       3.41%,       -5.15%,       -10.13%,       4.88%
2018-10-15,        -1.53%,       -6.2%,       5.67%,       -4.07%,       -7.51%,       7.93%
2018-10-12,        -1.22%,       -6.19%,       4.47%,       -4.58%,       -7.48%,       6.4%
2018-10-11,        0.15%,       -5.22%,       5.56%,       -1.93%,       -5.18%,       8.77%
2018-10-10,        -0.19%,       -7.74%,       3.77%,       -0.12%,       -7.11%,       7.8%
2018-10-09,        -2.4%,       -11.49%,       0.48%,       -2.88%,       -11.99%,       3.06%
2018-10-08,        -2.37%,       -11.62%,       0.34%,       -1.94%,       -11.71%,       3.4%
2018-10-05,        -5.01%,       -15.15%,       -0.49%,       -6.21%,       -16.84%,       2.01%
2018-10-04,        -5.55%,       -13.56%,       -1.2%,       -7.36%,       -15.08%,       0.19%
2018-10-03,        -6.8%,       -14.24%,       -2.02%,       -8.91%,       -16.71%,       -2.1%
2018-10-02,        -6.19%,       -14.28%,       -1.97%,       -7.37%,       -16.95%,       -2.0%
2018-10-01,        -7.23%,       -14.33%,       -2.02%,       -8.78%,       -17.14%,       -2.22%
2018-09-28,        -9.24%,       -14.67%,       -3.81%,       -12.14%,       -17.62%,       -4.25%
2018-09-27,        -9.23%,       -15.31%,       -3.29%,       -12.16%,       -17.96%,       -3.65%
2018-09-26,        -8.47%,       -15.08%,       -3.74%,       -9.56%,       -17.26%,       -3.28%
2018-09-25,        -7.11%,       -19.4%,       -4.03%,       -7.1%,       -22.07%,       -3.21%
2018-09-24,        -8.83%,       -19.48%,       -4.12%,       -10.09%,       -21.96%,       -3.08%
2018-09-21,        -5.82%,       -15.35%,       -3.58%,       -5.33%,       -17.1%,       -2.15%
2018-09-20,        -6.33%,       -14.42%,       -3.81%,       -5.85%,       -16.34%,       -3.07%
2018-09-18,        -4.99%,       -12.22%,       -2.95%,       -5.28%,       -13.9%,       -2.4%
2018-09-17,        -3.07%,       -11.74%,       -2.42%,       -2.23%,       -13.19%,       -1.59%
2018-09-14,        -5.67%,       -8.77%,       -3.28%,       -6.4%,       -10.27%,       -3.79%
2018-09-13,        -5.65%,       -8.72%,       -3.9%,       -6.68%,       -10.56%,       -4.79%
2018-09-12,        -4.56%,       -8.64%,       -3.69%,       -4.52%,       -10.39%,       -4.3%
2018-09-11,        -5.84%,       -8.64%,       -3.67%,       -7.38%,       -10.95%,       -4.58%
2018-09-07,        0.08%,       -6.18%,       -3.57%,       -1.14%,       -7.85%,       -4.17%
2018-09-06,        -0.12%,       -6.36%,       -3.17%,       -1.52%,       -8.21%,       -3.99%
2018-09-05,        -0.42%,       -6.5%,       -3.33%,       -1.8%,       -9.66%,       -4.92%
2018-09-04,        -0.13%,       -3.63%,       -3.59%,       -1.87%,       -7.27%,       -6.15%
2018-08-24,        1.22%,       -8.44%,       -3.17%,       0.77%,       -12.75%,       -5.61%
2018-08-23,        1.83%,       -7.27%,       -2.78%,       1.71%,       -11.3%,       -4.71%
2018-08-22,        2.03%,       -7.71%,       -2.91%,       1.46%,       -12.1%,       -4.85%
2018-08-21,        2.53%,       -6.02%,       -2.97%,       2.42%,       -10.15%,       -4.48%
2018-08-20,        1.94%,       -5.8%,       -2.74%,       1.67%,       -9.82%,       -4.13%
2018-08-17,        1.5%,       -4.22%,       -3.53%,       0.82%,       -6.54%,       -4.92%
2018-08-16,        1.86%,       -4.88%,       -3.51%,       0.85%,       -8.13%,       -4.97%
2018-08-15,        3.23%,       -3.45%,       -3.96%,       2.66%,       -7.12%,       -6.04%
2018-08-14,        2.44%,       -3.99%,       -4.68%,       1.7%,       -8.33%,       -7.19%
2018-08-13,        2.49%,       -3.38%,       -4.07%,       1.25%,       -7.76%,       -6.61%
2018-08-09,        1.06%,       -1.42%,       -4.2%,       -0.1%,       -3.48%,       -5.98%
2018-08-08,        0.75%,       -3.62%,       -4.73%,       -0.5%,       -6.47%,       -6.86%
2018-08-07,        0.9%,       -4.27%,       -4.77%,       0.01%,       -7.06%,       -6.75%
2018-08-06,        1.54%,       -3.95%,       -4.45%,       1.28%,       -6.72%,       -6.41%
2018-08-02,        2.63%,       -4.16%,       -6.72%,       3.52%,       -5.41%,       -10.0%
2018-08-01,        3.36%,       -4.66%,       -6.09%,       5.38%,       -6.32%,       -7.91%
2018-07-31,        3.19%,       -6.21%,       -6.25%,       5.64%,       -7.49%,       -7.56%
2018-07-30,        4.12%,       -5.75%,       -5.78%,       6.64%,       -6.78%,       -6.85%
2018-07-24,        1.48%,       -2.34%,       -6.66%,       0.28%,       -3.54%,       -10.18%
2018-07-23,        2.13%,       -1.85%,       -6.19%,       0.84%,       -3.15%,       -9.81%
2018-07-19,        2.03%,       0.16%,       -7.02%,       0.37%,       -0.97%,       -9.3%
2018-07-18,        1.42%,       -0.23%,       -8.42%,       -0.04%,       -1.51%,       -11.48%
2018-07-17,        1.28%,       -2.16%,       -8.23%,       -0.25%,       -4.47%,       -11.65%
2018-07-16,        0.87%,       -1.77%,       -7.85%,       0.03%,       -3.89%,       -11.11%
2018-07-12,        0.98%,       -0.38%,       -8.09%,       0.48%,       -4.31%,       -11.11%
2018-07-11,        2.28%,       3.81%,       -8.12%,       2.32%,       1.82%,       -10.39%
2018-07-10,        2.21%,       3.2%,       -8.79%,       2.59%,       0.98%,       -10.84%
2018-07-09,        2.72%,       3.57%,       -8.46%,       2.73%,       1.05%,       -10.78%
2018-07-06,        3.35%,       5.09%,       -9.16%,       3.15%,       3.86%,       -11.8%
